iter	Passed	Remaining
561	1237	964
562	1238	961
563	1239	958
564	1240	955
565	1249	958
566	1251	955
567	1252	952
568	1253	949
569	1254	946
570	1255	943
571	1262	944
572	1264	942
573	1266	940
574	1269	938
575	1270	935
576	1273	933
577	1276	931
578	1287	936
579	1288	933
580	1290	930
581	1292	928
582	1295	926
583	1296	923
584	1304	925
585	1305	922
586	1307	919
587	1308	916
588	1309	913
589	1310	910
590	1311	907
591	1316	907
592	1318	904
593	1319	901
594	1320	898
595	1321	895
596	1322	893
597	1324	890
598	1325	887
599	1326	884
600	1327	881
601	1332	880
602	1333	877
603	1334	875
604	1335	872
605	1337	869
606	1338	866
607	1339	863
608	1340	860
609	1342	858
610	1347	857
611	1349	855
612	1350	852
613	1351	849
614	1352	846
615	1353	843
616	1354	841
617	1355	838
618	1357	835
619	1362	835
620	1364	832
621	1365	829
622	1366	826
623	1367	824
624	1368	821
625	1369	818
626	1371	815
627	1372	812
628	1377	812
629	1378	809
630	1379	806
631	1381	804
632	1382	801
633	1383	798
634	1384	795
635	1385	792
636	1386	790
637	1387	787
638	1389	784
639	1390	782
640	1392	779
641	1393	777
642	1394	774
643	1396	771
644	1397	768
645	1400	767
646	1402	764
647	1403	762
648	1404	759
649	1406	757
650	1407	754
651	1408	751
652	1409	749
653	1410	746
654	1411	743
655	1412	740
656	1414	738
657	1416	736
658	1417	733
659	1419	731
660	1420	728
661	1422	726
662	1423	723
663	1425	721
664	1426	718
665	1429	716
666	1431	714
667	1433	712
668	1435	710
669	1436	707
670	1438	705
671	1439	702
672	1441	700
673	1442	697
674	1443	695
675	1445	692
676	1446	689
677	1447	687
678	1452	686
679	1453	684
680	1455	681
681	1457	679
682	1458	676
683	1459	674
684	1460	671
685	1461	669
686	1462	666
687	1467	665
688	1468	662
689	1469	660
690	1470	657
691	1471	655
692	1472	652
693	1473	649
694	1475	647
695	1476	644
696	1477	642
697	1481	640
698	1483	638
699	1484	636
700	1485	633
701	1487	631
702	1488	628
703	1489	626
704	1490	623
705	1491	621
706	1492	618
707	1496	617
708	1498	614
709	1499	612
710	1501	610
711	1502	607
712	1503	605
713	1504	602
714	1505	600
715	1506	597
716	1507	595
717	1510	593
718	1511	590
719	1512	588
720	1514	585
721	1515	583
722	1516	580
723	1517	578
724	1518	576
725	1520	573
726	1522	571
727	1558	582
728	1559	579
729	1561	577
730	1562	575
731	1563	572
732	1565	570
733	1566	567
734	1568	565
735	1569	563
736	1582	564
737	1583	562
738	1584	559
739	1586	557
740	1588	555
741	1590	553
742	1591	550
743	1593	548
744	1594	545
745	1596	543
746	1597	541
747	1598	538
748	1599	536
749	1600	533
750	1601	531
751	1604	529
752	1605	526
753	1606	524
754	1607	521
755	1608	519
756	1609	516
757	1610	514
758	1611	511
759	1612	509
760	1613	506
761	1614	504
762	1615	501
763	1616	499
764	1618	497
765	1619	494
766	1620	492
767	1621	489
768	1623	487
769	1624	485
770	1625	482
771	1626	480
772	1627	477
773	1628	475
774	1629	472
775	1630	470
776	1631	468
777	1633	466
778	1634	463
779	1635	461
780	1640	460
781	1654	461
782	1656	459
783	1657	456
784	1659	454
785	1662	452
786	1689	457
787	1690	454
788	1692	452
789	1694	450
790	1695	448
791	1701	446
792	1707	445
793	1709	443
794	1711	441
795	1717	440
796	1719	437
797	1720	435
798	1721	433
799	1723	430
800	1724	428
801	1733	427
802	1735	425
803	1737	423
804	1739	421
805	1740	418
806	1745	417
807	1746	415
808	1748	412
809	1750	410
810	1758	409
811	1761	407
812	1762	405
813	1764	403
814	1765	400
815	1781	401
816	1782	399
817	1791	398
818	1814	400
819	1826	400
820	1827	398
821	1828	395
822	1829	393
823	1830	390
824	1833	388
825	1835	386
826	1836	384
827	1837	381
828	1838	379
829	1839	376
830	1839	374
831	1840	371
832	1841	369
833	1842	366
834	1843	364
835	1844	361
836	1845	359
837	1849	357
838	1851	355
839	1852	352
840	1853	350
841	1854	348
842	1856	345
843	1856	343
844	1857	340
845	1858	338
846	1859	335
847	1860	333
848	1864	331
849	1865	329
850	1866	326
851	1867	324
852	1868	322
853	1869	319
854	1870	317
855	1871	314
856	1872	312
857	1873	310
858	1874	307
859	1875	305
860	1881	303
861	1883	301
862	1884	299
863	1886	296
864	1887	294
865	1888	292
866	1889	289
867	1890	287
868	1891	285
869	1895	283
870	1896	280
871	1897	278
872	1898	276
873	1899	273
874	1900	271
875	1901	269
876	1902	266
877	1902	264
878	1903	262
879	1904	259
880	1905	257
881	1909	255
882	1910	253
883	1911	250
884	1912	248
885	1913	246
886	1914	243
887	1915	241
888	1916	239
889	1917	236
890	1918	234
891	1919	232
892	1924	230
893	1925	228
894	1926	226
895	1927	223
896	1928	221
897	1929	219
898	1930	216
899	1931	214
900	1931	212
901	1932	210
902	1933	207
903	1934	205
904	1935	203
905	1939	201
906	1940	199
907	1941	196
908	1942	194
909	1943	192
910	1944	189
911	1945	187
912	1946	185
913	1947	183
914	1948	180
915	1949	178
916	1950	176
917	1951	174
918	1954	172
919	1955	170
920	1956	167
921	1957	165
922	1959	163
923	1960	161
924	1961	159
925	1962	156
926	1963	154
927	1964	152
928	1964	150
929	1965	147
930	1969	145
931	1971	143
932	1972	141
933	1973	139
934	1974	137
935	1974	135
936	1975	132
937	1976	130
938	1977	128
939	1978	126
940	1979	124
941	1980	121
942	1984	119
943	1986	117
944	1987	115
945	1988	113
946	1988	111
947	1989	109
948	1990	106
949	1991	104
950	1992	102
951	1993	100
952	1994	98
953	1995	96
954	2001	94
955	2002	92
956	2003	90
957	2004	87
958	2005	85
959	2006	83
960	2007	81
961	2008	79
962	2009	77
963	2011	75
964	2014	73
965	2015	70
966	2017	68
967	2018	66
968	2018	64
969	2019	62
970	2020	60
971	2021	58
972	2022	56
973	2023	54
974	2024	51
975	2025	49
976	2026	47
977	2030	45
978	2031	43
979	2032	41
980	2034	39
981	2035	37
982	2036	35
983	2037	33
984	2038	31
985	2039	28
986	2040	26
987	2040	24
988	2043	22
989	2045	20
990	2046	18
991	2047	16
992	2048	14
993	2050	12
994	2051	10
995	2051	8
996	2052	6
997	2053	4
998	2054	2
999	2055	0
